Opponent,Edm 1Q,Edm 2Q,Edm 3Q,Edm 4Q,Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q
Lions,3,9,10,0,7,0,0,0
Blue Bombers,0,3,0,0,3,5,5,7
Alouettes,2,14,2,14,7,1,0,17
Lions,3,17,14,5,11,6,6,0
Blue Bombers,3,9,0,9,14,0,14,0
Lions,10,6,14,3,3,0,0,3
Alouettes,0,6,3,1,7,3,7,3
Argonauts,7,6,7,6,0,0,0,0
Stampeders,0,0,9,9,0,9,12,3
Redblacks,7,3,0,6,9,3,0,0
Argonauts,14,10,7,10,6,6,7,7
Blue Bombers,3,6,3,16,10,10,3,11
Stampeders,3,3,3,0,6,9,3,7
Stampeders,7,3,0,7,3,14,6,10
Tiger-Cats,0,7,10,10,21,3,0,6
Redblacks,0,7,7,7,3,0,0,13
Tiger-Cats,3,0,3,6,8,11,6,17
Lions,3,13,0,3,0,3,0,3
Roughriders,14,3,0,7,0,7,14,6
Roughriders,0,0,13,0,10,0,2,11
Alouettes,8,17,6,6,0,19,3,7
Tiger-Cats,0,13,0,3,13,10,5,8
